BlockID,Xcoord,Ycoord,Area,NAdj,Ad1,Ad2,Ad3,Ad4
1,655647.7142,782255.4342,48.70233,2,2,4,0,0
2,648828.4891,800161.7158,33.29508,4,1,3,4,5
3,641556.8463,803380.6084,17.56893,3,2,5,6,0
4,656868.4083,802936.4052,30.13583,3,1,2,7,0
5,642872.8653,810850.8098,11.38586,2,2,3,0,0
6,636405.7472,811170.1707,21.60489,2,3,8,0,0
7,658487.5359,814001.2904,28.78924,2,4,9,0,0
8,628399.0656,820125.4452,7.32823,2,6,10,0,0
9,653714.2162,821382.602,13.85596,2,7,11,0,0
10,622551.9204,827228.0863,9.6778,2,8,12,0,0
11,642513.9415,826150.3469,54.74654,2,9,13,0,0
12,619639.2638,835108.2642,18.96904,2,10,15,0,0
13,644663.9945,837226.8381,27.19331,2,11,14,0,0
14,636604.1584,838232.7227,34.97371,2,13,16,0,0
15,615808.1101,844464.6859,9.2327,2,12,17,0,0
16,629384.9542,845997.9161,13.73439,4,14,18,19,20
17,608523.5292,849314.0942,5.47713,2,15,21,0,0
18,621423.4589,850981.1522,13.87337,4,16,19,20,22
19,633762.6833,855902.3167,35.02697,4,16,18,20,24
20,624766.1588,857486.0761,9.40603,4,16,18,19,22
21,603531.5061,856888.8428,7.56716,2,17,23,0,0
22,616478.2742,863351.1027,17.64597,3,18,20,26,0
23,599165.7487,863279.9344,8.61018,2,21,25,0,0
24,632279.9277,865074.299,17.51892,2,19,27,0,0
25,591498.2412,871411.6804,5.52267,1,23,0,0,0
26,609306.4974,873105.977,9.62982,2,22,28,0,0
27,629565.7374,873238.176,12.06524,2,24,28,0,0
28,620278.7199,878809.4941,20.65039,2,26,27,0,0
