"Year","Mean","lower","upper","SEmean","CImeanLo","CImeanHi"
2018,10,10,10,0,10,10
2019,14.856,10,22,0.183731466624059,14.5082885483558,15.2338852840181
2020,19.168,12,28.05,0.235189065001535,18.6599250631253,19.5892435401922
2021,23.345,14,35.025,0.289416788063881,22.77,23.892381218685
2022,27.352,17,41,0.327549055843524,26.7473866420715,28.0031639129117
2023,31.738,19,48,0.393615091789536,31.0286956755511,32.5707756664599
2024,35.97,22.925,53,0.425475580043336,35.1702686952676,36.8550903516556
2025,40.298,25.95,59,0.504530724392337,39.394598550722,41.37
2026,44.878,29,67,0.553830978039543,43.7512983274718,46.053224138199
2027,50.088,33,72.05,0.629190431169034,48.9218350893826,51.4220548976653
2028,55.624,35,85,0.770222252440264,54.2987915629314,57.4234431137806
2029,61.427,37.95,96,0.898613354706715,59.8732908972883,63.5705393134169
2030,67.798,42,112.1,1.0966611464213,65.7797596628902,70.0838678746112
2031,74.945,45,128.05,1.29217886057144,72.7577599255124,77.7519218329899
2032,83.102,46,150.1,1.61627723267912,79.8368698538201,86.2878238464384
2033,92.443,50,181.725,1.88253021889399,89.0358951278444,96.4179734835696
2034,102.817,55.95,203.4,2.18424204240826,98.5924376643658,107.172764634632
2035,114.981,59.95,236,2.65430645392112,110.172516916178,120.209197104196
2036,129.043,65.475,271,3.07299799019585,123.974099382363,136.084786526861
2037,145.168,68,311.15,3.74806417769014,138.987686411069,153.909333917857
2038,163.67,74,352,4.20403051144698,155.64848707306,172.17422854253
2039,184.769,78.95,393.699999999999,4.85239772138584,176.229947423607,194.647431828164
2040,208.995,86,436.4,5.3091279221203,198.772587759007,219.238497144498
2041,235.393,92.95,504,6.1563267166311,223.591393237908,248.276999038477
2042,265.409,97,568.05,7.34928759106978,252.644172542041,281.211853931603
